drugbank_id	gene	gene_name	HGNC	drug_name	drug_type	action	simplified_action	known_action	taxid
DB00431	GLRA3	Glycine receptor subunit alpha-3	HGNC:4328	Lindane	small molecule	antagonist	negaive	unknown	9606
DB00431	GLRB	Glycine receptor subunit beta	HGNC:4329	Lindane	small molecule	antagonist	negaive	unknown	9606
DB00431	NR1I2	Nuclear receptor subfamily 1 group I member 2	HGNC:7968	Lindane	small molecule		other	unknown	9606
DB00431	PGR	Progesterone receptor	HGNC:8910	Lindane	small molecule		other	unknown	9606
DB00432	TYMS	Thymidylate synthase	HGNC:12441	Trifluridine	small molecule	inhibitor	negaive	yes	9606
DB00433	DRD2	D(2) dopamine receptor	HGNC:3023	Prochlorperazine	small molecule	antagonist	negaive	yes	9606
DB00434	CHRM1	Muscarinic acetylcholine receptor M1	HGNC:1950	Cyproheptadine	small molecule	antagonist	negaive	unknown	9606
DB00434	CHRM2	Muscarinic acetylcholine receptor M2	HGNC:1951	Cyproheptadine	small molecule	antagonist	negaive	unknown	9606
DB00434	CHRM3	Muscarinic acetylcholine receptor M3	HGNC:1952	Cyproheptadine	small molecule	antagonist	negaive	unknown	9606
DB00434	HRH1	Histamine H1 receptor	HGNC:5182	Cyproheptadine	small molecule	antagonist	negaive	yes	9606
DB00434	HTR2A	5-hydroxytryptamine receptor 2A	HGNC:5293	Cyproheptadine	small molecule	antagonist	negaive	yes	9606
DB00434	HTR2C	5-hydroxytryptamine receptor 2C	HGNC:5295	Cyproheptadine	small molecule	antagonist	negaive	yes	9606
DB00434	HTR7	5-hydroxytryptamine receptor 7	HGNC:5302	Cyproheptadine	small molecule		other	unknown	9606
DB00435	GUCY1A2	Guanylate cyclase soluble subunit alpha-2	HGNC:4684	Nitric Oxide	small molecule	inducer	positive	yes	9606
DB00435	IDO1	Indoleamine 2,3-dioxygenase 1	HGNC:6059	Nitric Oxide	small molecule		other	unknown	9606
DB00435	MT1A	Metallothionein-1A	HGNC:7393	Nitric Oxide	small molecule		other	unknown	9606
DB00436	CA1	Carbonic anhydrase 1	HGNC:1368	Bendroflumethiazide	small molecule	inhibitor	negaive	unknown	9606
DB00436	CA2	Carbonic anhydrase 2	HGNC:1373	Bendroflumethiazide	small molecule	inhibitor	negaive	unknown	9606
DB00436	CA4	Carbonic anhydrase 4	HGNC:1375	Bendroflumethiazide	small molecule	inhibitor	negaive	unknown	9606
DB00436	KCNMA1	Calcium-activated potassium channel subunit alpha-1	HGNC:6284	Bendroflumethiazide	small molecule	inducer	positive	yes	9606
DB00436	SLC12A3	Solute carrier family 12 member 3	HGNC:10912	Bendroflumethiazide	small molecule	inhibitor	negaive	yes	9606
DB00437	XDH	Xanthine dehydrogenase/oxidase	HGNC:12805	Allopurinol	small molecule	inhibitor	negaive	yes	9606
DB00439	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase	HGNC:5006	Cerivastatin	small molecule	inhibitor	negaive	yes	9606
DB00440	DHFR	Dihydrofolate reductase	HGNC:2861	Trimethoprim	small molecule	inhibitor	negaive	no	9606
DB00440	TYMS	Thymidylate synthase	HGNC:12441	Trimethoprim	small molecule	inhibitor	negaive	yes	9606
DB00441	CMPK1	UMP-CMP kinase	HGNC:18170	Gemcitabine	small molecule	inhibitor	negaive	unknown	9606
DB00441	RRM1	Ribonucleoside-diphosphate reductase large subunit	HGNC:10451	Gemcitabine	small molecule	inhibitor	negaive	yes	9606
DB00441	TYMS	Thymidylate synthase	HGNC:12441	Gemcitabine	small molecule	inhibitor	negaive	unknown	9606
DB00443	NR3C1	Glucocorticoid receptor	HGNC:7978	Betamethasone	small molecule	agonist	positive	yes	9606
DB00444	TOP2A	DNA topoisomerase 2-alpha	HGNC:11989	Teniposide	small molecule	inhibitor	negaive	yes	9606
DB00445	CHD1	Chromodomain-helicase-DNA-binding protein 1	HGNC:1915	Epirubicin	small molecule	antagonist	negaive	yes	9606
DB00445	TOP2A	DNA topoisomerase 2-alpha	HGNC:11989	Epirubicin	small molecule	inhibitor	negaive	unknown	9606
DB00446	CD55	Complement decay-accelerating factor	HGNC:2665	Chloramphenicol	small molecule	other	other	unknown	9606
DB00448	ATP4A	Potassium-transporting ATPase alpha chain 1	HGNC:819	Lansoprazole	small molecule	inhibitor	negaive	yes	9606
DB00448	MAPT	Microtubule-associated protein tau	HGNC:6893	Lansoprazole	small molecule		other	unknown	9606
DB00449	ACHE	Acetylcholinesterase	HGNC:108	Dipivefrin	small molecule		other	unknown	9606
DB00449	ADRA1A	Alpha-1A adrenergic receptor	HGNC:277	Dipivefrin	small molecule	agonist	positive	yes	9606
DB00449	ADRA2A	Alpha-2A adrenergic receptor	HGNC:281	Dipivefrin	small molecule	agonist	positive	yes	9606
DB00449	ADRB2	Beta-2 adrenergic receptor	HGNC:286	Dipivefrin	small molecule	agonist	positive	yes	9606
DB00449	BCHE	Cholinesterase	HGNC:983	Dipivefrin	small molecule	potentiator	other	yes	9606
DB00450	ADRA1A	Alpha-1A adrenergic receptor	HGNC:277	Droperidol	small molecule	antagonist	negaive	yes	9606
DB00450	DRD2	D(2) dopamine receptor	HGNC:3023	Droperidol	small molecule	antagonist	negaive	yes	9606
DB00451	THRA	Thyroid hormone receptor alpha	HGNC:11796	Levothyroxine	small molecule	agonist	positive	yes	9606
DB00451	THRB	Thyroid hormone receptor beta	HGNC:11799	Levothyroxine	small molecule	agonist	positive	yes	9606
DB00452	CXCR4	C-X-C chemokine receptor type 4	HGNC:2561	Framycetin	small molecule	antagonist	negaive	unknown	9606
DB00454	CES1	Liver carboxylesterase 1	HGNC:1863	Pethidine	small molecule		other	unknown	9606
DB00454	CHRM1	Muscarinic acetylcholine receptor M1	HGNC:1950	Pethidine	small molecule	binder	other	unknown	9606
DB00454	CHRM2	Muscarinic acetylcholine receptor M2	HGNC:1951	Pethidine	small molecule	binder	other	unknown	9606
DB00454	CHRM3	Muscarinic acetylcholine receptor M3	HGNC:1952	Pethidine	small molecule	binder	other	unknown	9606
DB00454	CHRM4	Muscarinic acetylcholine receptor M4	HGNC:1953	Pethidine	small molecule	binder	other	unknown	9606
DB00454	CHRM5	Muscarinic acetylcholine receptor M5	HGNC:1954	Pethidine	small molecule	binder	other	unknown	9606
DB00454	GRIN1	Glutamate receptor ionotropic, NMDA 1	HGNC:4584	Pethidine	small molecule	antagonist	negaive	unknown	9606
DB00454	GRIN2A	Glutamate receptor ionotropic, NMDA 2A	HGNC:4585	Pethidine	small molecule	antagonist	negaive	unknown	9606
DB00454	GRIN2B	Glutamate receptor ionotropic, NMDA 2B	HGNC:4586	Pethidine	small molecule	antagonist	negaive	unknown	9606
DB00454	GRIN2C	Glutamate receptor ionotropic, NMDA 2C	HGNC:4587	Pethidine	small molecule	antagonist	negaive	unknown	9606
DB00454	GRIN2D	Glutamate receptor ionotropic, NMDA 2D	HGNC:4588	Pethidine	small molecule	antagonist	negaive	unknown	9606
DB00454	OPRK1	Kappa-type opioid receptor	HGNC:8154	Pethidine	small molecule		other	yes	9606
DB00454	OPRM1	Mu-type opioid receptor	HGNC:8156	Pethidine	small molecule	agonist	positive	unknown	9606
DB00454	SLC6A2	Sodium-dependent noradrenaline transporter	HGNC:11048	Pethidine	small molecule		other	unknown	9606
DB00454	SLC6A3	Sodium-dependent dopamine transporter	HGNC:11049	Pethidine	small molecule		other	unknown	9606
DB00454	SLC6A4	Sodium-dependent serotonin transporter	HGNC:11050	Pethidine	small molecule	binding	other	unknown	9606
DB00455	HRH1	Histamine H1 receptor	HGNC:5182	Loratadine	small molecule	antagonist	negaive	yes	9606
DB00455	KCNH2	Potassium voltage-gated channel subfamily H member 2	HGNC:6251	Loratadine	small molecule		other	unknown	9606
DB00457	ADRA1A	Alpha-1A adrenergic receptor	HGNC:277	Prazosin	small molecule	antagonist	negaive	yes	9606
DB00457	ADRA1B	Alpha-1B adrenergic receptor	HGNC:278	Prazosin	small molecule	antagonist	negaive	yes	9606
DB00457	ADRA1D	Alpha-1D adrenergic receptor	HGNC:280	Prazosin	small molecule	antagonist	negaive	yes	9606
DB00457	ADRA2A	Alpha-2A adrenergic receptor	HGNC:281	Prazosin	small molecule	binder	other	unknown	9606
DB00457	ADRA2B	Alpha-2B adrenergic receptor	HGNC:282	Prazosin	small molecule	binder	other	unknown	9606
DB00457	KCNH2	Potassium voltage-gated channel subfamily H member 2	HGNC:6251	Prazosin	small molecule	inhibitor	negaive	unknown	9606
DB00457	KCNH6	Potassium voltage-gated channel subfamily H member 6	HGNC:18862	Prazosin	small molecule	inhibitor	negaive	unknown	9606
DB00457	KCNH7	Potassium voltage-gated channel subfamily H member 7	HGNC:18863	Prazosin	small molecule	inhibitor	negaive	unknown	9606
DB00458	ADRA1A	Alpha-1A adrenergic receptor	HGNC:277	Imipramine	small molecule	antagonist	negaive	no	9606
DB00458	ADRA1B	Alpha-1B adrenergic receptor	HGNC:278	Imipramine	small molecule	antagonist	negaive	unknown	9606
DB00458	ADRA1D	Alpha-1D adrenergic receptor	HGNC:280	Imipramine	small molecule	antagonist	negaive	no	9606
DB00458	CHRM1	Muscarinic acetylcholine receptor M1	HGNC:1950	Imipramine	small molecule	antagonist	negaive	no	9606
DB00458	CHRM2	Muscarinic acetylcholine receptor M2	HGNC:1951	Imipramine	small molecule	antagonist	negaive	no	9606
DB00458	CHRM3	Muscarinic acetylcholine receptor M3	HGNC:1952	Imipramine	small molecule	antagonist	negaive	no	9606
DB00458	CHRM4	Muscarinic acetylcholine receptor M4	HGNC:1953	Imipramine	small molecule	antagonist	negaive	no	9606
DB00458	CHRM5	Muscarinic acetylcholine receptor M5	HGNC:1954	Imipramine	small molecule	antagonist	negaive	no	9606
DB00458	DRD1	D(1A) dopamine receptor	HGNC:3020	Imipramine	small molecule	binder	other	unknown	9606
DB00458	DRD2	D(2) dopamine receptor	HGNC:3023	Imipramine	small molecule	binder	other	unknown	9606
DB00458	DRD5	D(1B) dopamine receptor	HGNC:3026	Imipramine	small molecule	binder	other	unknown	9606
DB00458	HRH1	Histamine H1 receptor	HGNC:5182	Imipramine	small molecule	antagonist	negaive	no	9606
DB00458	HTR1A	5-hydroxytryptamine receptor 1A	HGNC:5286	Imipramine	small molecule	activator	positive	unknown	9606
DB00458	HTR2A	5-hydroxytryptamine receptor 2A	HGNC:5293	Imipramine	small molecule	antagonist	negaive	unknown	9606
DB00458	HTR2C	5-hydroxytryptamine receptor 2C	HGNC:5295	Imipramine	small molecule	antagonist|binder	negaive	unknown	9606
DB00458	HTR6	5-hydroxytryptamine receptor 6	HGNC:5301	Imipramine	small molecule	binder	other	unknown	9606
DB00458	HTR7	5-hydroxytryptamine receptor 7	HGNC:5302	Imipramine	small molecule	antagonist	negaive	unknown	9606
DB00458	KCND2	Potassium voltage-gated channel subfamily D member 2	HGNC:6238	Imipramine	small molecule	inhibitor	negaive	no	9606
DB00458	KCND3	Potassium voltage-gated channel subfamily D member 3	HGNC:6239	Imipramine	small molecule	inhibitor	negaive	no	9606
DB00458	KCNH1	Potassium voltage-gated channel subfamily H member 1	HGNC:6250	Imipramine	small molecule		other	unknown	9606
DB00458	KCNH2	Potassium voltage-gated channel subfamily H member 2	HGNC:6251	Imipramine	small molecule	inhibitor	negaive	unknown	9606
DB00458	ORM2	Alpha-1-acid glycoprotein 2	HGNC:8499	Imipramine	small molecule		other	unknown	9606
DB00458	SLC6A2	Sodium-dependent noradrenaline transporter	HGNC:11048	Imipramine	small molecule	inhibitor	negaive	yes	9606
DB00458	SLC6A3	Sodium-dependent dopamine transporter	HGNC:11049	Imipramine	small molecule		other	unknown	9606
DB00458	SLC6A4	Sodium-dependent serotonin transporter	HGNC:11050	Imipramine	small molecule	inhibitor	negaive	yes	9606
DB00459	RARA	Retinoic acid receptor alpha	HGNC:9864	Acitretin	small molecule	agonist	positive	yes	9606
DB00459	RARB	Retinoic acid receptor beta	HGNC:9865	Acitretin	small molecule	agonist	positive	yes	9606
DB00459	RARG	Retinoic acid receptor gamma	HGNC:9866	Acitretin	small molecule	agonist	positive	yes	9606
DB00459	RBP1	Retinol-binding protein 1	HGNC:9919	Acitretin	small molecule	agonist	positive	unknown	9606
DB00459	RXRA	Retinoic acid receptor RXR-alpha	HGNC:10477	Acitretin	small molecule	agonist	positive	yes	9606
DB00459	RXRB	Retinoic acid receptor RXR-beta	HGNC:10478	Acitretin	small molecule	agonist	positive	yes	9606
DB00459	RXRG	Retinoic acid receptor RXR-gamma	HGNC:10479	Acitretin	small molecule	agonist	positive	yes	9606
DB00461	PTGS1	Prostaglandin G/H synthase 1	HGNC:9604	Nabumetone	small molecule	inhibitor	negaive	unknown	9606
DB00461	PTGS2	Prostaglandin G/H synthase 2	HGNC:9605	Nabumetone	small molecule	inhibitor	negaive	yes	9606
DB00462	CHRM1	Muscarinic acetylcholine receptor M1	HGNC:1950	Methylscopolamine bromide	small molecule	antagonist	negaive	yes	9606
DB00462	CHRM2	Muscarinic acetylcholine receptor M2	HGNC:1951	Methylscopolamine bromide	small molecule	antagonist	negaive	yes	9606
DB00462	CHRM3	Muscarinic acetylcholine receptor M3	HGNC:1952	Methylscopolamine bromide	small molecule	antagonist	negaive	unknown	9606
DB00463	CHRNA4	Neuronal acetylcholine receptor subunit alpha-4	HGNC:1958	Metharbital	small molecule	antagonist	negaive	unknown	9606
DB00463	CHRNA7	Neuronal acetylcholine receptor subunit alpha-7	HGNC:1960	Metharbital	small molecule	antagonist	negaive	unknown	9606
DB00463	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1	HGNC:4075	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2	HGNC:4076	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRA3	Gamma-aminobutyric acid receptor subunit alpha-3	HGNC:4077	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRA4	Gamma-aminobutyric acid receptor subunit alpha-4	HGNC:4078	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRA5	Gamma-aminobutyric acid receptor subunit alpha-5	HGNC:4079	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRA6	Gamma-aminobutyric acid receptor subunit alpha-6	HGNC:4080	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRB1	Gamma-aminobutyric acid receptor subunit beta-1	HGNC:4081	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRB2	Gamma-aminobutyric acid receptor subunit beta-2	HGNC:4082	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRB3	Gamma-aminobutyric acid receptor subunit beta-3	HGNC:4083	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRD	Gamma-aminobutyric acid receptor subunit delta	HGNC:4084	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRE	Gamma-aminobutyric acid receptor subunit epsilon	HGNC:4085	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRG1	Gamma-aminobutyric acid receptor subunit gamma-1	HGNC:4086	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRG2	Gamma-aminobutyric acid receptor subunit gamma-2	HGNC:4087	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRG3	Gamma-aminobutyric acid receptor subunit gamma-3	HGNC:4088	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRP	Gamma-aminobutyric acid receptor subunit pi	HGNC:4089	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GABRQ	Gamma-aminobutyric acid receptor subunit theta	HGNC:14454	Metharbital	small molecule	positive allosteric modulator	positive	yes	9606
DB00463	GRIA2	Glutamate receptor 2	HGNC:4572	Metharbital	small molecule	antagonist	negaive	unknown	9606
DB00463	GRIK2	Glutamate receptor ionotropic, kainate 2	HGNC:4580	Metharbital	small molecule	antagonist	negaive	unknown	9606
DB00464	PROC	Vitamin K-dependent protein C	HGNC:9451	Sodium Tetradecyl Sulfate	small molecule	inhibitor	negaive	yes	9606
DB00464	PROS1	Vitamin K-dependent protein S	HGNC:9456	Sodium Tetradecyl Sulfate	small molecule	inhibitor	negaive	yes	9606
DB00465	PTGS1	Prostaglandin G/H synthase 1	HGNC:9604	Ketorolac	small molecule	inhibitor	negaive	unknown	9606
DB00465	PTGS2	Prostaglandin G/H synthase 2	HGNC:9605	Ketorolac	small molecule	inhibitor	negaive	yes	9606
DB00466	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1	HGNC:4075	Picrotoxin	small molecule	antagonist	negaive	yes	9606
DB00466	GABRR1	Gamma-aminobutyric acid receptor subunit rho-1	HGNC:4090	Picrotoxin	small molecule	antagonist	negaive	yes	9606
DB00466	GLRA1	Glycine receptor subunit alpha-1	HGNC:4326	Picrotoxin	small molecule	antagonist	negaive	unknown	9606
DB00466	GLRA2	Glycine receptor subunit alpha-2	HGNC:4327	Picrotoxin	small molecule	antagonist	negaive	unknown	9606
DB00466	GLRA3	Glycine receptor subunit alpha-3	HGNC:4328	Picrotoxin	small molecule	antagonist	negaive	unknown	9606
DB00467	TOP2A	DNA topoisomerase 2-alpha	HGNC:11989	Enoxacin	small molecule	inhibitor	negaive	no	9606
DB00468	GP9	Platelet glycoprotein IX	HGNC:4444	Quinine	small molecule	other	other	unknown	9606
DB00468	KCNN4	Intermediate conductance calcium-activated potassium channel protein 4	HGNC:6293	Quinine	small molecule	inhibitor	negaive	unknown	9606
DB00469	PTGS1	Prostaglandin G/H synthase 1	HGNC:9604	Tenoxicam	small molecule	inhibitor	negaive	unknown	9606
DB00469	PTGS2	Prostaglandin G/H synthase 2	HGNC:9605	Tenoxicam	small molecule	inhibitor	negaive	yes	9606
DB00470	CNR1	Cannabinoid receptor 1	HGNC:2159	Dronabinol	small molecule	agonist	positive	yes	9606
DB00470	CNR2	Cannabinoid receptor 2	HGNC:2160	Dronabinol	small molecule	agonist	positive	unknown	9606
DB00471	ALOX5	Arachidonate 5-lipoxygenase	HGNC:435	Montelukast	small molecule	other/unknown	other	unknown	9606
DB00471	CYSLTR1	Cysteinyl leukotriene receptor 1	HGNC:17451	Montelukast	small molecule	antagonist	negaive	yes	9606
DB00472	CKS1B	Cyclin-dependent kinases regulatory subunit 1	HGNC:19083	Fluoxetine	small molecule		other	unknown	9606
DB00472	HTR2C	5-hydroxytryptamine receptor 2C	HGNC:5295	Fluoxetine	small molecule	antagonist	negaive	unknown	9606
DB00472	KCNH2	Potassium voltage-gated channel subfamily H member 2	HGNC:6251	Fluoxetine	small molecule	inhibitor	negaive	unknown	9606
DB00472	SLC6A4	Sodium-dependent serotonin transporter	HGNC:11050	Fluoxetine	small molecule	inhibitor	negaive	yes	9606
DB00473	SCN10A	Sodium channel protein type 10 subunit alpha	HGNC:10582	Hexylcaine	small molecule	inhibitor	negaive	unknown	9606
DB00473	SCN5A	Sodium channel protein type 5 subunit alpha	HGNC:10593	Hexylcaine	small molecule	inhibitor	negaive	yes	9606
DB00474	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1	HGNC:4075	Methohexital	small molecule	antagonist	negaive	yes	9606
DB00475	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1	HGNC:4075	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2	HGNC:4076	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRA3	Gamma-aminobutyric acid receptor subunit alpha-3	HGNC:4077	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRA4	Gamma-aminobutyric acid receptor subunit alpha-4	HGNC:4078	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRA5	Gamma-aminobutyric acid receptor subunit alpha-5	HGNC:4079	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRA6	Gamma-aminobutyric acid receptor subunit alpha-6	HGNC:4080	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRB1	Gamma-aminobutyric acid receptor subunit beta-1	HGNC:4081	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRB2	Gamma-aminobutyric acid receptor subunit beta-2	HGNC:4082	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRB3	Gamma-aminobutyric acid receptor subunit beta-3	HGNC:4083	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRD	Gamma-aminobutyric acid receptor subunit delta	HGNC:4084	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRE	Gamma-aminobutyric acid receptor subunit epsilon	HGNC:4085	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRG1	Gamma-aminobutyric acid receptor subunit gamma-1	HGNC:4086	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRG2	Gamma-aminobutyric acid receptor subunit gamma-2	HGNC:4087	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRG3	Gamma-aminobutyric acid receptor subunit gamma-3	HGNC:4088	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRP	Gamma-aminobutyric acid receptor subunit pi	HGNC:4089	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00475	GABRQ	Gamma-aminobutyric acid receptor subunit theta	HGNC:14454	Chlordiazepoxide	small molecule	positive allosteric modulator	positive	yes	9606
DB00476	SLC6A2	Sodium-dependent noradrenaline transporter	HGNC:11048	Duloxetine	small molecule	inhibitor	negaive	yes	9606
DB00476	SLC6A3	Sodium-dependent dopamine transporter	HGNC:11049	Duloxetine	small molecule	inhibitor	negaive	unknown	9606
DB00476	SLC6A4	Sodium-dependent serotonin transporter	HGNC:11050	Duloxetine	small molecule	inhibitor	negaive	yes	9606
DB00477	ADRA1A	Alpha-1A adrenergic receptor	HGNC:277	Chlorpromazine	small molecule		other	unknown	9606
DB00477	ADRA1B	Alpha-1B adrenergic receptor	HGNC:278	Chlorpromazine	small molecule		other	unknown	9606
DB00477	ADRA1D	Alpha-1D adrenergic receptor	HGNC:280	Chlorpromazine	small molecule		other	unknown	9606
DB00477	ADRA2A	Alpha-2A adrenergic receptor	HGNC:281	Chlorpromazine	small molecule		other	unknown	9606
DB00477	ADRA2B	Alpha-2B adrenergic receptor	HGNC:282	Chlorpromazine	small molecule		other	unknown	9606
DB00477	ADRA2C	Alpha-2C adrenergic receptor	HGNC:283	Chlorpromazine	small molecule		other	unknown	9606
DB00477	CALM1	Calmodulin	HGNC:1442	Chlorpromazine	small molecule		other	unknown	9606
DB00477	CHRM1	Muscarinic acetylcholine receptor M1	HGNC:1950	Chlorpromazine	small molecule		other	unknown	9606
DB00477	CHRM3	Muscarinic acetylcholine receptor M3	HGNC:1952	Chlorpromazine	small molecule		other	unknown	9606
DB00477	DRD1	D(1A) dopamine receptor	HGNC:3020	Chlorpromazine	small molecule		other	unknown	9606
DB00477	DRD2	D(2) dopamine receptor	HGNC:3023	Chlorpromazine	small molecule	antagonist	negaive	yes	9606
DB00477	DRD3	D(3) dopamine receptor	HGNC:3024	Chlorpromazine	small molecule		other	unknown	9606
DB00477	DRD4	D(4) dopamine receptor	HGNC:3025	Chlorpromazine	small molecule	binder	other	unknown	9606
DB00477	DRD5	D(1B) dopamine receptor	HGNC:3026	Chlorpromazine	small molecule		other	unknown	9606
DB00477	HRH1	Histamine H1 receptor	HGNC:5182	Chlorpromazine	small molecule	antagonist	negaive	yes	9606
DB00477	HRH4	Histamine H4 receptor	HGNC:17383	Chlorpromazine	small molecule	binder	other	unknown	9606
DB00477	HTR1A	5-hydroxytryptamine receptor 1A	HGNC:5286	Chlorpromazine	small molecule	antagonist	negaive	yes	9606
DB00477	HTR2A	5-hydroxytryptamine receptor 2A	HGNC:5293	Chlorpromazine	small molecule	binder	other	unknown	9606
DB00477	HTR2B	5-hydroxytryptamine receptor 2B	HGNC:5294	Chlorpromazine	small molecule	binder	other	unknown	9606
DB00477	HTR2C	5-hydroxytryptamine receptor 2C	HGNC:5295	Chlorpromazine	small molecule	binder	other	unknown	9606
DB00477	HTR6	5-hydroxytryptamine receptor 6	HGNC:5301	Chlorpromazine	small molecule	binder	other	unknown	9606
DB00477	HTR7	5-hydroxytryptamine receptor 7	HGNC:5302	Chlorpromazine	small molecule	binder	other	unknown	9606
DB00477	KCNH2	Potassium voltage-gated channel subfamily H member 2	HGNC:6251	Chlorpromazine	small molecule		other	unknown	9606
DB00477	ORM1	Alpha-1-acid glycoprotein 1	HGNC:8498	Chlorpromazine	small molecule	binder	other	unknown	9606
DB00477	ORM2	Alpha-1-acid glycoprotein 2	HGNC:8499	Chlorpromazine	small molecule	binder	other	unknown	9606
DB00477	SMPD1	Sphingomyelin phosphodiesterase	HGNC:11120	Chlorpromazine	small molecule		other	unknown	9606
DB00480	CDH5	Cadherin-5	HGNC:1764	Lenalidomide	small molecule	antagonist	negaive	unknown	9606
DB00480	CRBN	Protein cereblon	HGNC:30185	Lenalidomide	small molecule	inhibitor	negaive	yes	9606
DB00480	PTGS2	Prostaglandin G/H synthase 2	HGNC:9605	Lenalidomide	small molecule	negative modulator	negaive	unknown	9606
DB00480	TNFSF11	Tumor necrosis factor ligand superfamily member 11	HGNC:11926	Lenalidomide	small molecule	inhibitor	negaive	yes	9606
DB00481	ESR1	Estrogen receptor	HGNC:3467	Raloxifene	small molecule	agonist	positive	yes	9606
DB00481	ESR2	Estrogen receptor beta	HGNC:3468	Raloxifene	small molecule	agonist	positive	yes	9606
DB00481	SERPINB9	Serpin B9	HGNC:8955	Raloxifene	small molecule		other	unknown	9606
DB00481	TFF1	Trefoil factor 1	HGNC:11755	Raloxifene	small molecule		other	unknown	9606
DB00482	CA2	Carbonic anhydrase 2	HGNC:1373	Celecoxib	small molecule	inhibitor	negaive	unknown	9606
DB00482	CA3	Carbonic anhydrase 3	HGNC:1374	Celecoxib	small molecule	inhibitor	negaive	unknown	9606
DB00482	PDPK1	3-phosphoinositide-dependent protein kinase 1	HGNC:8816	Celecoxib	small molecule	inhibitor	negaive	unknown	9606
DB00482	PTGS2	Prostaglandin G/H synthase 2	HGNC:9605	Celecoxib	small molecule	inhibitor	negaive	yes	9606
DB00483	ACHE	Acetylcholinesterase	HGNC:108	Gallamine Triethiodide	small molecule	inhibitor	negaive	yes	9606
DB00483	CHRM1	Muscarinic acetylcholine receptor M1	HGNC:1950	Gallamine Triethiodide	small molecule		other	unknown	9606
DB00483	CHRM2	Muscarinic acetylcholine receptor M2	HGNC:1951	Gallamine Triethiodide	small molecule	antagonist	negaive	yes	9606
DB00483	CHRM5	Muscarinic acetylcholine receptor M5	HGNC:1954	Gallamine Triethiodide	small molecule		other	unknown	9606
DB00483	CHRNA2	Neuronal acetylcholine receptor subunit alpha-2	HGNC:1956	Gallamine Triethiodide	small molecule	antagonist	negaive	unknown	9606
DB00484	ADRA2A	Alpha-2A adrenergic receptor	HGNC:281	Brimonidine	small molecule	agonist	positive	yes	9606
DB00484	ADRA2B	Alpha-2B adrenergic receptor	HGNC:282	Brimonidine	small molecule	agonist	positive	yes	9606
DB00484	ADRA2C	Alpha-2C adrenergic receptor	HGNC:283	Brimonidine	small molecule	agonist	positive	yes	9606
DB00486	CNR1	Cannabinoid receptor 1	HGNC:2159	Nabilone	small molecule	partial agonist	other	yes	9606
DB00486	CNR2	Cannabinoid receptor 2	HGNC:2160	Nabilone	small molecule	partial agonist	other	yes	9606
